,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
0,2.941,2.589,175856.0,27.0,365.0,730.0,60.378,19.3,25.1,12.6,0.0,56.0,1.52,10.0,26.9,53.5,2014.0,1.0,1.0
1,2.936,2.961,181624.0,25.0,370.0,740.0,60.026,17.1,23.6,12.3,0.0,63.0,0.0,10.0,14.4,27.8,2014.0,1.0,2.0
2,2.928,3.225,202016.0,42.0,418.0,836.0,64.522,16.8,27.2,8.8,0.0,47.0,0.25,10.0,31.9,61.1,2014.0,1.0,5.0
3,2.928,3.354,207547.0,36.0,430.0,850.0,63.0,14.6,19.9,11.1,0.0,49.0,0.0,10.0,27.0,38.9,2014.0,1.0,6.0
4,2.917,3.794,202824.0,46.0,508.0,1016.0,65.59,13.4,19.1,8.0,0.0,65.0,0.0,10.0,20.6,35.2,2014.0,1.0,7.0
5,2.912,3.75,247691.0,40.0,410.0,820.0,61.786,18.9,27.3,7.7,0.0,52.0,0.0,0.0,15.6,31.7,2014.0,1.0,8.0
6,2.355,3.507,224706.0,51.0,555.0,1110.0,68.82,25.9,32.4,12.1,0.0,39.0,0.0,0.0,26.7,46.5,2014.0,1.0,9.0
7,2.366,3.188,212440.0,41.0,365.0,730.0,62.218,17.7,24.6,13.0,0.0,69.0,0.0,9.8,13.1,25.9,2014.0,1.0,12.0
8,3.923,3.378,202676.0,26.0,355.0,710.0,61.433,26.4,36.0,12.7,0.0,44.0,0.0,0.0,19.8,51.9,2014.0,1.0,13.0
9,3.912,3.425,202411.0,42.0,530.0,830.0,66.354,35.5,43.5,28.5,0.0,20.0,0.0,0.0,27.8,57.6,2014.0,1.0,14.0
10,2.971,3.775,171123.0,47.0,435.0,870.0,65.531,32.1,42.9,23.7,0.0,29.0,0.0,0.0,18.0,35.2,2014.0,1.0,15.0
11,3.833,3.763,193509.0,43.0,295.0,590.0,59.548,33.9,43.1,23.7,0.0,24.0,0.0,0.0,19.3,46.5,2014.0,1.0,16.0
12,2.984,3.487,205761.0,38.0,600.0,1200.0,68.82,19.2,23.1,15.2,0.0,64.0,0.0,10.0,24.8,31.7,2014.0,1.0,19.0
13,3.236,3.604,184108.0,38.0,465.0,930.0,64.568,18.4,24.7,15.8,0.0,66.0,0.0,10.0,25.6,35.2,2014.0,1.0,20.0
